Indicator,State,Phase,Time Period,Time Period Start Date,Time Period End Date,Percent of Population,Region
Symptoms of Depressive Disorder,Mississippi,3,18,2020-10-28,2020-11-09,28.8,South
Symptoms of Depressive Disorder,Missouri,3,18,2020-10-28,2020-11-09,27.5,Midwest
Symptoms of Depressive Disorder,Montana,3,18,2020-10-28,2020-11-09,22.9,West
Symptoms of Depressive Disorder,Nebraska,3,18,2020-10-28,2020-11-09,23.8,Midwest
Symptoms of Depressive Disorder,Nevada,3,18,2020-10-28,2020-11-09,34.0,West
Symptoms of Depressive Disorder,New Hampshire,3,18,2020-10-28,2020-11-09,21.5,Northeast
Symptoms of Depressive Disorder,New Jersey,3,18,2020-10-28,2020-11-09,23.2,Northeast
Symptoms of Depressive Disorder,New Mexico,3,18,2020-10-28,2020-11-09,32.6,West
Symptoms of Depressive Disorder,New York,3,18,2020-10-28,2020-11-09,22.0,Northeast
Symptoms of Depressive Disorder,North Carolina,3,18,2020-10-28,2020-11-09,27.6,South
Symptoms of Depressive Disorder,North Dakota,3,18,2020-10-28,2020-11-09,17.0,Midwest
Symptoms of Depressive Disorder,Ohio,3,18,2020-10-28,2020-11-09,26.7,Midwest
Symptoms of Depressive Disorder,Oklahoma,3,18,2020-10-28,2020-11-09,27.1,South
Symptoms of Depressive Disorder,Oregon,3,18,2020-10-28,2020-11-09,29.0,West
Symptoms of Depressive Disorder,Pennsylvania,3,18,2020-10-28,2020-11-09,27.8,Northeast
Symptoms of Depressive Disorder,Rhode Island,3,18,2020-10-28,2020-11-09,25.6,Northeast
Symptoms of Depressive Disorder,South Carolina,3,18,2020-10-28,2020-11-09,28.2,South
Symptoms of Depressive Disorder,South Dakota,3,18,2020-10-28,2020-11-09,20.0,Midwest
Symptoms of Depressive Disorder,Tennessee,3,18,2020-10-28,2020-11-09,25.0,South
Symptoms of Depressive Disorder,Texas,3,18,2020-10-28,2020-11-09,31.2,South
Symptoms of Depressive Disorder,Utah,3,18,2020-10-28,2020-11-09,24.3,West
Symptoms of Depressive Disorder,Vermont,3,18,2020-10-28,2020-11-09,30.0,Northeast
Symptoms of Depressive Disorder,Virginia,3,18,2020-10-28,2020-11-09,24.0,South
Symptoms of Depressive Disorder,Washington,3,18,2020-10-28,2020-11-09,24.4,West
Symptoms of Depressive Disorder,West Virginia,3,18,2020-10-28,2020-11-09,25.7,South
Symptoms of Depressive Disorder,Wisconsin,3,18,2020-10-28,2020-11-09,27.0,Midwest
Symptoms of Depressive Disorder,Wyoming,3,18,2020-10-28,2020-11-09,23.5,West
Symptoms of Anxiety Disorder,Alabama,3,18,2020-10-28,2020-11-09,35.3,South
Symptoms of Anxiety Disorder,Alaska,3,18,2020-10-28,2020-11-09,32.7,West
Symptoms of Anxiety Disorder,Arizona,3,18,2020-10-28,2020-11-09,35.5,West
Symptoms of Anxiety Disorder,Arkansas,3,18,2020-10-28,2020-11-09,38.8,South
Symptoms of Anxiety Disorder,California,3,18,2020-10-28,2020-11-09,38.2,West
Symptoms of Anxiety Disorder,Colorado,3,18,2020-10-28,2020-11-09,40.5,West
Symptoms of Anxiety Disorder,Connecticut,3,18,2020-10-28,2020-11-09,38.2,Northeast
Symptoms of Anxiety Disorder,Delaware,3,18,2020-10-28,2020-11-09,37.7,South
Symptoms of Anxiety Disorder,District of Columbia,3,18,2020-10-28,2020-11-09,45.6,South
Symptoms of Anxiety Disorder,Florida,3,18,2020-10-28,2020-11-09,38.3,South
Symptoms of Anxiety Disorder,Georgia,3,18,2020-10-28,2020-11-09,39.0,South
Symptoms of Anxiety Disorder,Hawaii,3,18,2020-10-28,2020-11-09,37.0,West
Symptoms of Anxiety Disorder,Idaho,3,18,2020-10-28,2020-11-09,35.3,West
Symptoms of Anxiety Disorder,Illinois,3,18,2020-10-28,2020-11-09,36.2,Midwest
Symptoms of Anxiety Disorder,Indiana,3,18,2020-10-28,2020-11-09,35.0,Midwest
Symptoms of Anxiety Disorder,Iowa,3,18,2020-10-28,2020-11-09,41.0,Midwest
Symptoms of Anxiety Disorder,Kansas,3,18,2020-10-28,2020-11-09,40.4,Midwest
Symptoms of Anxiety Disorder,Kentucky,3,18,2020-10-28,2020-11-09,37.6,South
Symptoms of Anxiety Disorder,Louisiana,3,18,2020-10-28,2020-11-09,37.6,South
Symptoms of Anxiety Disorder,Maine,3,18,2020-10-28,2020-11-09,40.5,Northeast
Symptoms of Anxiety Disorder,Maryland,3,18,2020-10-28,2020-11-09,35.7,South
Symptoms of Anxiety Disorder,Massachusetts,3,18,2020-10-28,2020-11-09,37.6,Northeast
Symptoms of Anxiety Disorder,Michigan,3,18,2020-10-28,2020-11-09,31.1,Midwest
Symptoms of Anxiety Disorder,Minnesota,3,18,2020-10-28,2020-11-09,33.6,Midwest
Symptoms of Anxiety Disorder,Mississippi,3,18,2020-10-28,2020-11-09,37.8,South
Symptoms of Anxiety Disorder,Missouri,3,18,2020-10-28,2020-11-09,35.5,Midwest
Symptoms of Anxiety Disorder,Montana,3,18,2020-10-28,2020-11-09,36.6,West
Symptoms of Anxiety Disorder,Nebraska,3,18,2020-10-28,2020-11-09,33.0,Midwest
Symptoms of Anxiety Disorder,Nevada,3,18,2020-10-28,2020-11-09,39.9,West
Symptoms of Anxiety Disorder,New Hampshire,3,18,2020-10-28,2020-11-09,36.0,Northeast
Symptoms of Anxiety Disorder,New Jersey,3,18,2020-10-28,2020-11-09,33.5,Northeast
Symptoms of Anxiety Disorder,New Mexico,3,18,2020-10-28,2020-11-09,40.1,West
Symptoms of Anxiety Disorder,New York,3,18,2020-10-28,2020-11-09,33.0,Northeast
Symptoms of Anxiety Disorder,North Carolina,3,18,2020-10-28,2020-11-09,36.0,South
Symptoms of Anxiety Disorder,North Dakota,3,18,2020-10-28,2020-11-09,22.3,Midwest
Symptoms of Anxiety Disorder,Ohio,3,18,2020-10-28,2020-11-09,37.1,Midwest
Symptoms of Anxiety Disorder,Oklahoma,3,18,2020-10-28,2020-11-09,40.0,South
Symptoms of Anxiety Disorder,Oregon,3,18,2020-10-28,2020-11-09,38.4,West
Symptoms of Anxiety Disorder,Pennsylvania,3,18,2020-10-28,2020-11-09,36.1,Northeast
Symptoms of Anxiety Disorder,Rhode Island,3,18,2020-10-28,2020-11-09,38.6,Northeast
Symptoms of Anxiety Disorder,South Carolina,3,18,2020-10-28,2020-11-09,37.3,South
Symptoms of Anxiety Disorder,South Dakota,3,18,2020-10-28,2020-11-09,28.6,Midwest
Symptoms of Anxiety Disorder,Tennessee,3,18,2020-10-28,2020-11-09,32.5,South
Symptoms of Anxiety Disorder,Texas,3,18,2020-10-28,2020-11-09,37.2,South
Symptoms of Anxiety Disorder,Utah,3,18,2020-10-28,2020-11-09,33.0,West
Symptoms of Anxiety Disorder,Vermont,3,18,2020-10-28,2020-11-09,37.3,Northeast
Symptoms of Anxiety Disorder,Virginia,3,18,2020-10-28,2020-11-09,30.5,South
Symptoms of Anxiety Disorder,Washington,3,18,2020-10-28,2020-11-09,34.7,West
Symptoms of Anxiety Disorder,West Virginia,3,18,2020-10-28,2020-11-09,35.7,South
Symptoms of Anxiety Disorder,Wisconsin,3,18,2020-10-28,2020-11-09,36.0,Midwest
Symptoms of Anxiety Disorder,Wyoming,3,18,2020-10-28,2020-11-09,30.0,West
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,3,18,2020-10-28,2020-11-09,44.8,South
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,3,18,2020-10-28,2020-11-09,38.2,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,3,18,2020-10-28,2020-11-09,40.3,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,3,18,2020-10-28,2020-11-09,41.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,California,3,18,2020-10-28,2020-11-09,43.7,West
Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,3,18,2020-10-28,2020-11-09,43.3,West
Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,3,18,2020-10-28,2020-11-09,41.8,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,3,18,2020-10-28,2020-11-09,41.5,South
Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,3,18,2020-10-28,2020-11-09,50.1,South
Symptoms of Anxiety Disorder or Depressive Disorder,Florida,3,18,2020-10-28,2020-11-09,43.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,3,18,2020-10-28,2020-11-09,46.4,South
Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,3,18,2020-10-28,2020-11-09,43.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,3,18,2020-10-28,2020-11-09,42.2,West
Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,3,18,2020-10-28,2020-11-09,41.8,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,3,18,2020-10-28,2020-11-09,40.9,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,3,18,2020-10-28,2020-11-09,44.3,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,3,18,2020-10-28,2020-11-09,43.6,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,3,18,2020-10-28,2020-11-09,40.8,South
Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,3,18,2020-10-28,2020-11-09,42.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Maine,3,18,2020-10-28,2020-11-09,43.8,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,3,18,2020-10-28,2020-11-09,39.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,3,18,2020-10-28,2020-11-09,42.8,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,3,18,2020-10-28,2020-11-09,34.8,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,3,18,2020-10-28,2020-11-09,37.1,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,3,18,2020-10-28,2020-11-09,42.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,3,18,2020-10-28,2020-11-09,40.3,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Montana,3,18,2020-10-28,2020-11-09,39.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,3,18,2020-10-28,2020-11-09,38.1,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,3,18,2020-10-28,2020-11-09,47.3,West
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,3,18,2020-10-28,2020-11-09,39.2,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,3,18,2020-10-28,2020-11-09,36.9,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,3,18,2020-10-28,2020-11-09,44.2,West
Symptoms of Anxiety Disorder or Depressive Disorder,New York,3,18,2020-10-28,2020-11-09,36.5,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,3,18,2020-10-28,2020-11-09,42.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,3,18,2020-10-28,2020-11-09,25.5,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,3,18,2020-10-28,2020-11-09,42.0,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,3,18,2020-10-28,2020-11-09,43.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,3,18,2020-10-28,2020-11-09,44.1,West
Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,3,18,2020-10-28,2020-11-09,41.3,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,3,18,2020-10-28,2020-11-09,42.3,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,3,18,2020-10-28,2020-11-09,41.4,South
Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,3,18,2020-10-28,2020-11-09,32.3,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,3,18,2020-10-28,2020-11-09,36.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,Texas,3,18,2020-10-28,2020-11-09,44.4,South
Symptoms of Anxiety Disorder or Depressive Disorder,Utah,3,18,2020-10-28,2020-11-09,36.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,3,18,2020-10-28,2020-11-09,43.8,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,3,18,2020-10-28,2020-11-09,36.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,3,18,2020-10-28,2020-11-09,38.8,West
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,3,18,2020-10-28,2020-11-09,39.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,3,18,2020-10-28,2020-11-09,39.2,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,3,18,2020-10-28,2020-11-09,37.0,West
Symptoms of Depressive Disorder,Alabama,3,19,2020-11-11,2020-11-23,31.5,South
Symptoms of Depressive Disorder,Alaska,3,19,2020-11-11,2020-11-23,30.0,West
Symptoms of Depressive Disorder,Arizona,3,19,2020-11-11,2020-11-23,28.7,West
Symptoms of Depressive Disorder,Arkansas,3,19,2020-11-11,2020-11-23,32.7,South
Symptoms of Depressive Disorder,California,3,19,2020-11-11,2020-11-23,30.7,West
Symptoms of Depressive Disorder,Colorado,3,19,2020-11-11,2020-11-23,26.0,West
Symptoms of Depressive Disorder,Connecticut,3,19,2020-11-11,2020-11-23,25.3,Northeast
Symptoms of Depressive Disorder,Delaware,3,19,2020-11-11,2020-11-23,24.3,South
Symptoms of Depressive Disorder,District of Columbia,3,19,2020-11-11,2020-11-23,27.8,South
Symptoms of Depressive Disorder,Florida,3,19,2020-11-11,2020-11-23,30.5,South
Symptoms of Depressive Disorder,Georgia,3,19,2020-11-11,2020-11-23,29.2,South
Symptoms of Depressive Disorder,Hawaii,3,19,2020-11-11,2020-11-23,22.6,West
Symptoms of Depressive Disorder,Idaho,3,19,2020-11-11,2020-11-23,27.2,West
Symptoms of Depressive Disorder,Illinois,3,19,2020-11-11,2020-11-23,30.4,Midwest
Symptoms of Depressive Disorder,Indiana,3,19,2020-11-11,2020-11-23,27.0,Midwest
Symptoms of Depressive Disorder,Iowa,3,19,2020-11-11,2020-11-23,25.5,Midwest
Symptoms of Depressive Disorder,Kansas,3,19,2020-11-11,2020-11-23,26.5,Midwest
Symptoms of Depressive Disorder,Kentucky,3,19,2020-11-11,2020-11-23,26.5,South
Symptoms of Depressive Disorder,Louisiana,3,19,2020-11-11,2020-11-23,35.5,South
Symptoms of Depressive Disorder,Maine,3,19,2020-11-11,2020-11-23,25.8,Northeast
Symptoms of Depressive Disorder,Maryland,3,19,2020-11-11,2020-11-23,26.7,South
Symptoms of Depressive Disorder,Massachusetts,3,19,2020-11-11,2020-11-23,27.5,Northeast
Symptoms of Depressive Disorder,Michigan,3,19,2020-11-11,2020-11-23,26.8,Midwest
Symptoms of Depressive Disorder,Minnesota,3,19,2020-11-11,2020-11-23,24.5,Midwest
Symptoms of Depressive Disorder,Mississippi,3,19,2020-11-11,2020-11-23,30.1,South
Symptoms of Depressive Disorder,Missouri,3,19,2020-11-11,2020-11-23,26.6,Midwest
Symptoms of Depressive Disorder,Montana,3,19,2020-11-11,2020-11-23,30.1,West
Symptoms of Depressive Disorder,Nebraska,3,19,2020-11-11,2020-11-23,26.5,Midwest
Symptoms of Depressive Disorder,Nevada,3,19,2020-11-11,2020-11-23,32.5,West
Symptoms of Depressive Disorder,New Hampshire,3,19,2020-11-11,2020-11-23,24.2,Northeast
Symptoms of Depressive Disorder,New Jersey,3,19,2020-11-11,2020-11-23,26.2,Northeast
Symptoms of Depressive Disorder,New Mexico,3,19,2020-11-11,2020-11-23,32.6,West
Symptoms of Depressive Disorder,New York,3,19,2020-11-11,2020-11-23,25.1,Northeast
Symptoms of Depressive Disorder,North Carolina,3,19,2020-11-11,2020-11-23,26.9,South
Symptoms of Depressive Disorder,North Dakota,3,19,2020-11-11,2020-11-23,26.1,Midwest
Symptoms of Depressive Disorder,Ohio,3,19,2020-11-11,2020-11-23,28.7,Midwest
Symptoms of Depressive Disorder,Oklahoma,3,19,2020-11-11,2020-11-23,31.6,South
Symptoms of Depressive Disorder,Oregon,3,19,2020-11-11,2020-11-23,28.7,West
Symptoms of Depressive Disorder,Pennsylvania,3,19,2020-11-11,2020-11-23,27.9,Northeast
Symptoms of Depressive Disorder,Rhode Island,3,19,2020-11-11,2020-11-23,29.9,Northeast
Symptoms of Depressive Disorder,South Carolina,3,19,2020-11-11,2020-11-23,32.6,South
Symptoms of Depressive Disorder,South Dakota,3,19,2020-11-11,2020-11-23,27.4,Midwest
Symptoms of Depressive Disorder,Tennessee,3,19,2020-11-11,2020-11-23,29.4,South
Symptoms of Depressive Disorder,Texas,3,19,2020-11-11,2020-11-23,31.4,South
Symptoms of Depressive Disorder,Utah,3,19,2020-11-11,2020-11-23,28.7,West
Symptoms of Depressive Disorder,Vermont,3,19,2020-11-11,2020-11-23,21.6,Northeast
Symptoms of Depressive Disorder,Virginia,3,19,2020-11-11,2020-11-23,23.3,South
Symptoms of Depressive Disorder,Washington,3,19,2020-11-11,2020-11-23,27.7,West
Symptoms of Depressive Disorder,West Virginia,3,19,2020-11-11,2020-11-23,29.6,South
Symptoms of Depressive Disorder,Wisconsin,3,19,2020-11-11,2020-11-23,26.5,Midwest
Symptoms of Depressive Disorder,Wyoming,3,19,2020-11-11,2020-11-23,26.8,West
Symptoms of Anxiety Disorder,Alabama,3,19,2020-11-11,2020-11-23,40.1,South
Symptoms of Anxiety Disorder,Alaska,3,19,2020-11-11,2020-11-23,40.3,West
Symptoms of Anxiety Disorder,Arizona,3,19,2020-11-11,2020-11-23,39.2,West
Symptoms of Anxiety Disorder,Arkansas,3,19,2020-11-11,2020-11-23,39.0,South
Symptoms of Anxiety Disorder,California,3,19,2020-11-11,2020-11-23,39.0,West
Symptoms of Anxiety Disorder,Colorado,3,19,2020-11-11,2020-11-23,42.2,West
Symptoms of Anxiety Disorder,Connecticut,3,19,2020-11-11,2020-11-23,33.5,Northeast
Symptoms of Anxiety Disorder,Delaware,3,19,2020-11-11,2020-11-23,31.9,South
Symptoms of Anxiety Disorder,District of Columbia,3,19,2020-11-11,2020-11-23,35.3,South
Symptoms of Anxiety Disorder,Florida,3,19,2020-11-11,2020-11-23,33.9,South
Symptoms of Anxiety Disorder,Georgia,3,19,2020-11-11,2020-11-23,34.8,South
Symptoms of Anxiety Disorder,Hawaii,3,19,2020-11-11,2020-11-23,28.4,West
Symptoms of Anxiety Disorder,Idaho,3,19,2020-11-11,2020-11-23,32.9,West
Symptoms of Anxiety Disorder,Illinois,3,19,2020-11-11,2020-11-23,37.4,Midwest
Symptoms of Anxiety Disorder,Indiana,3,19,2020-11-11,2020-11-23,34.1,Midwest
Symptoms of Anxiety Disorder,Iowa,3,19,2020-11-11,2020-11-23,32.9,Midwest
Symptoms of Anxiety Disorder,Kansas,3,19,2020-11-11,2020-11-23,34.9,Midwest
Symptoms of Anxiety Disorder,Kentucky,3,19,2020-11-11,2020-11-23,32.4,South
Symptoms of Anxiety Disorder,Louisiana,3,19,2020-11-11,2020-11-23,38.4,South
Symptoms of Anxiety Disorder,Maine,3,19,2020-11-11,2020-11-23,35.0,Northeast
Symptoms of Anxiety Disorder,Maryland,3,19,2020-11-11,2020-11-23,36.1,South
Symptoms of Anxiety Disorder,Massachusetts,3,19,2020-11-11,2020-11-23,37.5,Northeast
Symptoms of Anxiety Disorder,Michigan,3,19,2020-11-11,2020-11-23,35.2,Midwest
Symptoms of Anxiety Disorder,Minnesota,3,19,2020-11-11,2020-11-23,37.5,Midwest
Symptoms of Anxiety Disorder,Mississippi,3,19,2020-11-11,2020-11-23,37.7,South
Symptoms of Anxiety Disorder,Missouri,3,19,2020-11-11,2020-11-23,33.3,Midwest
Symptoms of Anxiety Disorder,Montana,3,19,2020-11-11,2020-11-23,39.9,West
Symptoms of Anxiety Disorder,Nebraska,3,19,2020-11-11,2020-11-23,34.9,Midwest
Symptoms of Anxiety Disorder,Nevada,3,19,2020-11-11,2020-11-23,43.2,West
Symptoms of Anxiety Disorder,New Hampshire,3,19,2020-11-11,2020-11-23,33.8,Northeast
Symptoms of Anxiety Disorder,New Jersey,3,19,2020-11-11,2020-11-23,36.2,Northeast
Symptoms of Anxiety Disorder,New Mexico,3,19,2020-11-11,2020-11-23,42.6,West
Symptoms of Anxiety Disorder,New York,3,19,2020-11-11,2020-11-23,36.6,Northeast
Symptoms of Anxiety Disorder,North Carolina,3,19,2020-11-11,2020-11-23,38.3,South
Symptoms of Anxiety Disorder,North Dakota,3,19,2020-11-11,2020-11-23,32.6,Midwest
Symptoms of Anxiety Disorder,Ohio,3,19,2020-11-11,2020-11-23,38.1,Midwest
Symptoms of Anxiety Disorder,Oklahoma,3,19,2020-11-11,2020-11-23,42.0,South
Symptoms of Anxiety Disorder,Oregon,3,19,2020-11-11,2020-11-23,40.8,West
Symptoms of Anxiety Disorder,Pennsylvania,3,19,2020-11-11,2020-11-23,34.9,Northeast
Symptoms of Anxiety Disorder,Rhode Island,3,19,2020-11-11,2020-11-23,37.8,Northeast
Symptoms of Anxiety Disorder,South Carolina,3,19,2020-11-11,2020-11-23,36.4,South
Symptoms of Anxiety Disorder,South Dakota,3,19,2020-11-11,2020-11-23,34.7,Midwest
Symptoms of Anxiety Disorder,Tennessee,3,19,2020-11-11,2020-11-23,38.2,South
Symptoms of Anxiety Disorder,Texas,3,19,2020-11-11,2020-11-23,42.3,South
Symptoms of Anxiety Disorder,Utah,3,19,2020-11-11,2020-11-23,38.0,West
Symptoms of Anxiety Disorder,Vermont,3,19,2020-11-11,2020-11-23,36.2,Northeast
Symptoms of Anxiety Disorder,Virginia,3,19,2020-11-11,2020-11-23,34.3,South
Symptoms of Anxiety Disorder,Washington,3,19,2020-11-11,2020-11-23,36.3,West
Symptoms of Anxiety Disorder,West Virginia,3,19,2020-11-11,2020-11-23,36.6,South
Symptoms of Anxiety Disorder,Wisconsin,3,19,2020-11-11,2020-11-23,31.4,Midwest
Symptoms of Anxiety Disorder,Wyoming,3,19,2020-11-11,2020-11-23,35.8,West
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,3,19,2020-11-11,2020-11-23,43.8,South
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,3,19,2020-11-11,2020-11-23,44.6,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,3,19,2020-11-11,2020-11-23,43.8,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,3,19,2020-11-11,2020-11-23,44.2,South
Symptoms of Anxiety Disorder or Depressive Disorder,California,3,19,2020-11-11,2020-11-23,45.1,West
Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,3,19,2020-11-11,2020-11-23,45.8,West
Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,3,19,2020-11-11,2020-11-23,37.5,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,3,19,2020-11-11,2020-11-23,35.9,South
Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,3,19,2020-11-11,2020-11-23,40.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Florida,3,19,2020-11-11,2020-11-23,41.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,3,19,2020-11-11,2020-11-23,39.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,3,19,2020-11-11,2020-11-23,32.1,West
Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,3,19,2020-11-11,2020-11-23,40.5,West
Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,3,19,2020-11-11,2020-11-23,42.6,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,3,19,2020-11-11,2020-11-23,39.5,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,3,19,2020-11-11,2020-11-23,39.7,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,3,19,2020-11-11,2020-11-23,40.0,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,3,19,2020-11-11,2020-11-23,38.9,South
Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,3,19,2020-11-11,2020-11-23,46.8,South
Symptoms of Anxiety Disorder or Depressive Disorder,Maine,3,19,2020-11-11,2020-11-23,40.9,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,3,19,2020-11-11,2020-11-23,40.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,3,19,2020-11-11,2020-11-23,42.1,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,3,19,2020-11-11,2020-11-23,40.7,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,3,19,2020-11-11,2020-11-23,41.4,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,3,19,2020-11-11,2020-11-23,44.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,3,19,2020-11-11,2020-11-23,39.7,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Montana,3,19,2020-11-11,2020-11-23,45.3,West
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,3,19,2020-11-11,2020-11-23,39.6,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,3,19,2020-11-11,2020-11-23,47.6,West
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,3,19,2020-11-11,2020-11-23,40.1,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,3,19,2020-11-11,2020-11-23,40.9,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,3,19,2020-11-11,2020-11-23,49.7,West
Symptoms of Anxiety Disorder or Depressive Disorder,New York,3,19,2020-11-11,2020-11-23,41.7,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,3,19,2020-11-11,2020-11-23,41.5,South
Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,3,19,2020-11-11,2020-11-23,39.0,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,3,19,2020-11-11,2020-11-23,41.7,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,3,19,2020-11-11,2020-11-23,46.5,South
Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,3,19,2020-11-11,2020-11-23,45.2,West
Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,3,19,2020-11-11,2020-11-23,39.9,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,3,19,2020-11-11,2020-11-23,44.5,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,3,19,2020-11-11,2020-11-23,44.9,South
Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,3,19,2020-11-11,2020-11-23,42.3,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,3,19,2020-11-11,2020-11-23,42.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,Texas,3,19,2020-11-11,2020-11-23,47.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Utah,3,19,2020-11-11,2020-11-23,44.3,West
Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,3,19,2020-11-11,2020-11-23,39.8,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,3,19,2020-11-11,2020-11-23,38.2,South
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,3,19,2020-11-11,2020-11-23,43.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,3,19,2020-11-11,2020-11-23,42.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,3,19,2020-11-11,2020-11-23,38.7,Midwest
